Durchgang;Bubblesort Zeit;Insertionsort Zeit;Mergesort Zeit;Quicksort Zeit;Selectionsort Zeit;Simplesort Zeit;
261;0,187025;0,062944;0,041863;0,031924;0,09818;0,216841;
262;0,190037;0,059029;0,041862;0,031321;0,09818;0,224671;
263;0,190338;0,062944;0,042465;0,031924;0,097879;0,202987;
264;0,19094;0,062944;0,04126;0,035538;0,099987;0,238224;
265;0,190338;0,058728;0,043368;0,034634;0,099988;0,23491;
266;0,196662;0,058125;0,042164;0,032526;0,099687;0,233104;
267;0,194855;0,062342;0,042465;0,032224;0,103;0,226779;
268;0,190338;0,0256;0,018371;0,014456;0,042766;0,094566;
269;0,079207;0,0259;0,01807;0,013553;0,041862;0,099386;
270;0,197265;0,061739;0,043971;0,032526;0,104204;0,234007;
271;0,195458;0,067762;0,044272;0,033731;0,102397;0,251776;
272;0,195759;0,059631;0,044573;0,032828;0,104505;0,221961;
273;0,201783;0,062944;0,044874;0,034032;0,104505;0,249367;
274;0,205396;0,06686;0,044874;0,033429;0,103301;0,237621;
275;0,204794;0,063546;0,045476;0,034333;0,105108;0,244849;
276;0,205697;0,06686;0,045476;0,03343;0,10842;0,258101;
277;0,2063;0,06445;0,045175;0,034634;0,106312;0,257498;
278;0,207505;0,066257;0,04909;0,03343;0,112937;0,24756;
279;0,209613;0,066257;0,044874;0,034634;0,107517;0,236417;
280;0,213829;0,075894;0,046681;0,033731;0,112034;0,262016;
281;0,211119;0,068967;0,045778;0,034634;0,112938;0,25539;
282;0,212022;0,072882;0,046681;0,034333;0,111733;0,261112;
283;0,21413;0,071076;0,046079;0,034032;0,110528;0,277677;
284;0,213829;0,078304;0,046681;0,034935;0,112336;0,277375;
285;0,213829;0,067762;0,048488;0,035839;0,114744;0,273159;
286;0,222563;0,06716;0,045778;0,034935;0,11324;0,275869;
287;0,218347;0,070473;0,046982;0,034635;0,115347;0,261715;
288;0,216238;0,07469;0,048187;0,035236;0,119563;0,283399;
289;0,223466;0,070473;0,047585;0,035236;0,115347;0,276773;
290;0,224671;0,073485;0,046681;0,036442;0,118358;0,281591;
291;0,225575;0,077701;0,048488;0,035236;0,118962;0,290928;
292;0,223466;0,07198;0,048186;0,035538;0,119865;0,252981;
293;0,234911;0,07228;0,048789;0,036743;0,118961;0,291229;
294;0,229188;0,073485;0,050295;0,03614;0,122575;0,283098;
295;0,238826;0,079508;0,049391;0,034333;0,122575;0,287013;
296;0,231598;0,074087;0,048186;0,035237;0,121069;0,292433;
297;0,237019;0,073485;0,04879;0,036441;0,12378;0,271653;
298;0,237019;0,077701;0,048488;0,03614;0,123479;0,30177;
299;0,23732;0,078605;0,049993;0,037044;0,12378;0,29906;
300;0,238224;0,077099;0,049994;0,035839;0,12378;0,290626;
301;0,243042;0,080411;0,049994;0,035237;0,127394;0,306588;
302;0,110227;0,034333;0,021382;0,016263;0,05421;0,127996;
303;0,106011;0,034935;0,022286;0,016565;0,055415;0,123478;
304;0,106614;0,034333;0,021985;0,016866;0,055415;0,127996;
